Herb Name,Botanical Name,Common Uses,Active Compounds,Preparation Form,Health Conditions Treated,Dosage,Side Effects,Interactions,Region Origin
Hibiscus Variant-5742,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–7g/day,Mild heartburn,Enhances anticoagulants,India
Bitter Leaf Variant-5743,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",3–9g/day,Stomach upset,May interact with blood thinners,Asia
Turmeric Variant-5744,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",1–9g/day,None known,Enhances anticoagulants,South America
Garlic Variant-5745,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",1–10g/day,Liver stress (overdose),May interact with blood thinners,India
Turmeric Variant-5746,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",5–9g/day,Dizziness,May interact with blood thinners,Middle East
Bitter Leaf Variant-5747,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",1–6g/day,Dizziness,None known,Asia
Scent Leaf Variant-5748,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",4–9g/day,Liver stress (overdose),None known,Europe
Bitter Leaf Variant-5749,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",4–9g/day,Mild heartburn,Avoid with diabetes drugs,Asia
Scent Leaf Variant-5750,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",4–10g/day,Stomach upset,Enhances anticoagulants,Middle East
Neem Variant-5751,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",2–6g/day,Dizziness,Avoid with laxatives,Asia
Clove Variant-5752,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–7g/day,Mild heartburn,Avoid with laxatives,South America
Clove Variant-5753,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–10g/day,None known,Avoid with laxatives,Africa
Hibiscus Variant-5754,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–10g/day,None known,Avoid with laxatives,Europe
Turmeric Variant-5755,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–10g/day,Stomach upset,May interact with blood thinners,Africa
Bitter Leaf Variant-5756,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",3–10g/day,Dizziness,Avoid with laxatives,South America
Ginger Variant-5757,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",4–6g/day,Liver stress (overdose),Avoid with diabetes drugs,India
Moringa Variant-5758,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–9g/day,Liver stress (overdose),None known,Africa
Ginger Variant-5759,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",1–7g/day,None known,May interact with blood thinners,South America
Bitter Leaf Variant-5760,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",1–10g/day,Mild heartburn,Enhances anticoagulants,Asia
Garlic Variant-5761,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",2–8g/day,None known,Avoid with diabetes drugs,South America
Bitter Leaf Variant-5762,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",2–10g/day,Dizziness,None known,Asia
Hibiscus Variant-5763,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–7g/day,Dizziness,None known,Asia
Scent Leaf Variant-5764,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",3–8g/day,Dizziness,Avoid with diabetes drugs,India
Scent Leaf Variant-5765,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",5–6g/day,Dizziness,None known,Africa
Hibiscus Variant-5766,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–8g/day,None known,May interact with blood thinners,South America
Clove Variant-5767,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",3–10g/day,None known,Avoid with diabetes drugs,Asia
Clove Variant-5768,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–7g/day,Dizziness,Avoid with diabetes drugs,South America
Aloe Vera Variant-5769,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–10g/day,Stomach upset,Enhances anticoagulants,India
Hibiscus Variant-5770,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,5–10g/day,Mild heartburn,May interact with blood thinners,Middle East
Hibiscus Variant-5771,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–8g/day,Stomach upset,Enhances anticoagulants,South America
Hibiscus Variant-5772,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–10g/day,Mild heartburn,Avoid with diabetes drugs,Asia
Bitter Leaf Variant-5773,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",1–9g/day,None known,None known,India
Aloe Vera Variant-5774,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",5–9g/day,Mild heartburn,Avoid with diabetes drugs,Europe
Aloe Vera Variant-5775,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–10g/day,Mild heartburn,Enhances anticoagulants,India
Turmeric Variant-5776,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",2–9g/day,Dizziness,May interact with blood thinners,India
Scent Leaf Variant-5777,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–7g/day,Liver stress (overdose),May interact with blood thinners,India
Neem Variant-5778,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–10g/day,Mild heartburn,Avoid with diabetes drugs,Europe
Clove Variant-5779,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–7g/day,Mild heartburn,Avoid with diabetes drugs,Europe
Ginger Variant-5780,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",5–10g/day,Stomach upset,Avoid with diabetes drugs,Africa
Turmeric Variant-5781,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",1–7g/day,Liver stress (overdose),None known,Europe
Moringa Variant-5782,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–6g/day,Mild heartburn,Avoid with diabetes drugs,Middle East
Ginger Variant-5783,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",3–10g/day,None known,None known,Europe
Hibiscus Variant-5784,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–7g/day,Stomach upset,Avoid with laxatives,Africa
Bitter Leaf Variant-5785,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",4–9g/day,Dizziness,Enhances anticoagulants,South America
Hibiscus Variant-5786,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–6g/day,None known,Enhances anticoagulants,South America
Aloe Vera Variant-5787,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",4–6g/day,Dizziness,Avoid with diabetes drugs,Africa
Garlic Variant-5788,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–9g/day,None known,May interact with blood thinners,Africa
Turmeric Variant-5789,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",5–9g/day,Stomach upset,Avoid with diabetes drugs,Africa
Hibiscus Variant-5790,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–7g/day,Dizziness,Avoid with diabetes drugs,Africa
Ginger Variant-5791,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–8g/day,Liver stress (overdose),Enhances anticoagulants,India
Turmeric Variant-5792,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",3–6g/day,Mild heartburn,None known,South America
Garlic Variant-5793,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",1–10g/day,Liver stress (overdose),Enhances anticoagulants,India
Garlic Variant-5794,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",5–7g/day,Stomach upset,Enhances anticoagulants,Asia
Bitter Leaf Variant-5795,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",2–8g/day,None known,Enhances anticoagulants,Africa
Garlic Variant-5796,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–8g/day,Mild heartburn,None known,India
Ginger Variant-5797,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",4–10g/day,Liver stress (overdose),Enhances anticoagulants,Middle East
Garlic Variant-5798,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–6g/day,Liver stress (overdose),May interact with blood thinners,South America
Clove Variant-5799,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",4–10g/day,Mild heartburn,Enhances anticoagulants,Europe
Aloe Vera Variant-5800,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",5–10g/day,Dizziness,Enhances anticoagulants,Asia
Ginger Variant-5801,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",3–6g/day,Liver stress (overdose),May interact with blood thinners,Africa
Aloe Vera Variant-5802,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",4–8g/day,Mild heartburn,Enhances anticoagulants,Europe
Garlic Variant-5803,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",5–9g/day,Mild heartburn,None known,Africa
Neem Variant-5804,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",2–8g/day,Liver stress (overdose),Avoid with diabetes drugs,Europe
Turmeric Variant-5805,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",5–10g/day,Dizziness,Avoid with diabetes drugs,Middle East
Clove Variant-5806,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",3–9g/day,Mild heartburn,May interact with blood thinners,Africa
Bitter Leaf Variant-5807,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",5–9g/day,Liver stress (overdose),Avoid with laxatives,South America
Scent Leaf Variant-5808,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–6g/day,Liver stress (overdose),May interact with blood thinners,India
Ginger Variant-5809,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",4–8g/day,Liver stress (overdose),Avoid with diabetes drugs,Asia
Aloe Vera Variant-5810,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",5–8g/day,Stomach upset,May interact with blood thinners,Africa
Hibiscus Variant-5811,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,3–6g/day,None known,Enhances anticoagulants,Africa
Garlic Variant-5812,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–8g/day,None known,None known,India
Scent Leaf Variant-5813,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",4–9g/day,None known,Enhances anticoagulants,Africa
Ginger Variant-5814,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",4–8g/day,None known,May interact with blood thinners,Asia
Turmeric Variant-5815,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",1–6g/day,Liver stress (overdose),Avoid with diabetes drugs,India
Scent Leaf Variant-5816,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",3–9g/day,Liver stress (overdose),Avoid with diabetes drugs,Europe
Turmeric Variant-5817,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",1–10g/day,Stomach upset,Enhances anticoagulants,South America
Neem Variant-5818,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",3–6g/day,Liver stress (overdose),None known,Europe
Garlic Variant-5819,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",2–10g/day,Stomach upset,Avoid with laxatives,Asia
Neem Variant-5820,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",5–7g/day,Stomach upset,Avoid with laxatives,Middle East
Neem Variant-5821,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",4–7g/day,Mild heartburn,Avoid with laxatives,Middle East
Clove Variant-5822,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–7g/day,Stomach upset,None known,South America
Bitter Leaf Variant-5823,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",1–8g/day,Liver stress (overdose),Avoid with laxatives,Asia
Clove Variant-5824,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",3–9g/day,None known,May interact with blood thinners,Middle East
Garlic Variant-5825,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–9g/day,Liver stress (overdose),Avoid with laxatives,South America
Ginger Variant-5826,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",4–8g/day,Mild heartburn,Enhances anticoagulants,Africa
Moringa Variant-5827,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",2–9g/day,Dizziness,Enhances anticoagulants,South America
Ginger Variant-5828,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–9g/day,Stomach upset,May interact with blood thinners,South America
Bitter Leaf Variant-5829,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",5–10g/day,Dizziness,Avoid with laxatives,Europe
Aloe Vera Variant-5830,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",1–7g/day,Liver stress (overdose),May interact with blood thinners,Africa
Bitter Leaf Variant-5831,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",1–6g/day,Liver stress (overdose),None known,Africa
Clove Variant-5832,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–9g/day,Stomach upset,None known,South America
Turmeric Variant-5833,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",3–10g/day,Mild heartburn,None known,South America
Moringa Variant-5834,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",5–9g/day,Stomach upset,May interact with blood thinners,Middle East
Hibiscus Variant-5835,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–6g/day,Dizziness,Avoid with laxatives,India
Hibiscus Variant-5836,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,5–10g/day,Dizziness,Enhances anticoagulants,Africa
Garlic Variant-5837,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",1–10g/day,Liver stress (overdose),Avoid with laxatives,South America
Moringa Variant-5838,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",3–10g/day,Liver stress (overdose),Avoid with laxatives,Africa
Bitter Leaf Variant-5839,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",4–8g/day,Liver stress (overdose),May interact with blood thinners,India
Turmeric Variant-5840,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",2–10g/day,Stomach upset,Enhances anticoagulants,Asia
Moringa Variant-5841,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",1–9g/day,Liver stress (overdose),None known,Asia
Aloe Vera Variant-5842,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",1–8g/day,Liver stress (overdose),Avoid with laxatives,Asia
Garlic Variant-5843,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–10g/day,Stomach upset,Avoid with diabetes drugs,South America
Neem Variant-5844,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",2–8g/day,Stomach upset,None known,Europe
Clove Variant-5845,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–8g/day,Mild heartburn,Avoid with laxatives,India
Aloe Vera Variant-5846,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",1–8g/day,Liver stress (overdose),None known,Europe
Hibiscus Variant-5847,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,3–6g/day,Liver stress (overdose),Avoid with diabetes drugs,Asia
Bitter Leaf Variant-5848,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",1–7g/day,Liver stress (overdose),Avoid with laxatives,Middle East
Aloe Vera Variant-5849,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",4–8g/day,Mild heartburn,Avoid with diabetes drugs,Africa
Scent Leaf Variant-5850,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",5–10g/day,Mild heartburn,Enhances anticoagulants,Middle East
Bitter Leaf Variant-5851,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",3–10g/day,Dizziness,Avoid with diabetes drugs,Africa
Garlic Variant-5852,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",4–9g/day,Liver stress (overdose),May interact with blood thinners,Asia
Clove Variant-5853,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",3–7g/day,Dizziness,Enhances anticoagulants,Africa
Ginger Variant-5854,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",5–7g/day,None known,Avoid with diabetes drugs,South America
Ginger Variant-5855,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–9g/day,Dizziness,Enhances anticoagulants,Europe
Scent Leaf Variant-5856,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–10g/day,None known,May interact with blood thinners,Asia
Moringa Variant-5857,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",2–7g/day,Mild heartburn,Avoid with laxatives,Middle East
Garlic Variant-5858,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",4–8g/day,Dizziness,Enhances anticoagulants,Asia
Hibiscus Variant-5859,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–10g/day,Mild heartburn,Avoid with laxatives,South America
Aloe Vera Variant-5860,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",4–6g/day,None known,Enhances anticoagulants,Europe
Garlic Variant-5861,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–7g/day,Mild heartburn,Enhances anticoagulants,Europe
Hibiscus Variant-5862,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,3–6g/day,None known,None known,Europe
Neem Variant-5863,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",5–10g/day,Mild heartburn,Avoid with laxatives,Asia
Bitter Leaf Variant-5864,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",4–10g/day,Mild heartburn,Enhances anticoagulants,Middle East
Moringa Variant-5865,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",2–6g/day,None known,Avoid with diabetes drugs,Africa
Hibiscus Variant-5866,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–9g/day,Liver stress (overdose),May interact with blood thinners,South America
Moringa Variant-5867,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",3–7g/day,None known,Avoid with laxatives,India
Clove Variant-5868,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",3–7g/day,Stomach upset,Avoid with diabetes drugs,India
Garlic Variant-5869,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–9g/day,Dizziness,Enhances anticoagulants,South America
Scent Leaf Variant-5870,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–9g/day,Mild heartburn,Avoid with laxatives,India
Garlic Variant-5871,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",1–8g/day,Stomach upset,None known,India
Moringa Variant-5872,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–10g/day,Mild heartburn,Avoid with laxatives,Middle East
Aloe Vera Variant-5873,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",4–8g/day,Stomach upset,Avoid with diabetes drugs,Asia
Hibiscus Variant-5874,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–7g/day,Mild heartburn,None known,Europe
Bitter Leaf Variant-5875,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",3–8g/day,Mild heartburn,May interact with blood thinners,Asia
Turmeric Variant-5876,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",3–6g/day,Mild heartburn,None known,Middle East
Clove Variant-5877,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",1–6g/day,Dizziness,Enhances anticoagulants,Europe
Hibiscus Variant-5878,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,5–7g/day,Mild heartburn,Avoid with laxatives,South America
Neem Variant-5879,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–8g/day,Stomach upset,Avoid with laxatives,Asia
Ginger Variant-5880,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–8g/day,Mild heartburn,None known,Asia
Moringa Variant-5881,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",5–10g/day,Dizziness,Avoid with diabetes drugs,Africa
Scent Leaf Variant-5882,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",3–9g/day,Stomach upset,Avoid with laxatives,Africa
Clove Variant-5883,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–8g/day,None known,None known,Middle East
Hibiscus Variant-5884,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,5–6g/day,None known,May interact with blood thinners,India
Bitter Leaf Variant-5885,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",4–6g/day,Mild heartburn,Avoid with laxatives,India
Turmeric Variant-5886,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–9g/day,Liver stress (overdose),None known,Africa
Clove Variant-5887,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",1–10g/day,Stomach upset,Avoid with laxatives,Middle East
Bitter Leaf Variant-5888,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",3–7g/day,Liver stress (overdose),Avoid with laxatives,Europe
Ginger Variant-5889,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–8g/day,None known,May interact with blood thinners,India
Scent Leaf Variant-5890,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",3–9g/day,Liver stress (overdose),Enhances anticoagulants,South America
Neem Variant-5891,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",3–9g/day,Mild heartburn,May interact with blood thinners,Africa
Garlic Variant-5892,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",1–8g/day,Dizziness,Avoid with diabetes drugs,Asia
